Название люстры,цена,Ссылка
Люстра светодиодная LED4U 55Вт пульт L3101-5,10 630 ₽,https://colorlon.ru/catalog/product/lyustra-svetodiodnaya-led4u-55vt-pult-l3101-5
Люстра светодиодная LED4U 80Вт пульт L1092-60-40 круг,14 280 ₽,https://colorlon.ru/catalog/product/lyustra-svetodiodnaya-led4u-80vt-pult-l1092-60-40-krug
Люстра светодиодная MODESTYLE 40Вт MS.9005.601,15 070 ₽,https://colorlon.ru/catalog/product/lyustra-svetodiodnaya-modestyle-40vt-ms-9005-601
Люстра ЭкономСвет Е27х5 13060/5 AB WT,5 490 ₽,https://colorlon.ru/catalog/product/lyustra-ekonomsvet-e27kh5-13060-5-ab-wt
Люстра светодиодная LED4U 90Вт пульт L61023-601,10 630 ₽,https://colorlon.ru/catalog/product/lyustra-svetodiodnaya-led4u-90vt-pult-l61023-601
Люстра светодиодная LED4U 46Вт L5022-600 WH,8 360 ₽,https://colorlon.ru/catalog/product/lyustra-svetodiodnaya-led4u-46vt-l5022-600-wh
Люстра светодиодная LED4U 48Вт L5022-900 WH,10 200 ₽,https://colorlon.ru/catalog/product/lyustra-svetodiodnaya-led4u-48vt-l5022-900-wh
Люстра светодиодная LED4U 210Вт 8597-500-400-300 WT,9 780 ₽,https://colorlon.ru/catalog/product/lyustra-svetodiodnaya-led4u-210vt-8597-500-400-300-wt
Люстра светодиодная LED4U 72Вт пульт L2500-9,9 350 ₽,https://colorlon.ru/catalog/product/lyustra-svetodiodnaya-led4u-72vt-pult-l2500-9
Люстра светодиодная LED4U 200Вт пульт L5901-6,8 080 ₽,https://colorlon.ru/catalog/product/lyustra-svetodiodnaya-led4u-200vt-pult-l5901-6
Люстра светодиодная LED4U 72Вт 2700-6500К 400х160мм 1161-400 GD,6 580 ₽,https://colorlon.ru/catalog/product/lyustra-svetodiodnaya-led4u-72vt-2700-6500k-400kh160mm-1161-400-gd
Люстра MODELUX Е14х12 ML.2023.13,22 950 ₽,https://colorlon.ru/catalog/product/lyustra-modelux-e14kh12-ml-2023-13
Люстра светодиодная LED4U 100Вт пульт L2839-5 WH,9 760 ₽,https://colorlon.ru/catalog/product/lyustra-svetodiodnaya-led4u-100vt-pult-l2839-5-wh
Светильник светодиодный Feron 80Вт пульт 3000-6500К 41556,5 250 ₽,https://colorlon.ru/catalog/product/svetilnik-svetodiodnyy-feron-80vt-pult-3000-6500k-41556
Люстра светодиодная MODELUX kids 70Вт пульт ML.1010.600K,5 580 ₽,https://colorlon.ru/catalog/product/lyustra-svetodiodnaya-modelux-kids-70vt-pult-ml-1010-600k
Люстра светодиодная LED4U 72Вт 2700-6500К 400х160мм 1161-400 CR,6 580 ₽,https://colorlon.ru/catalog/product/lyustra-svetodiodnaya-led4u-72vt-2700-6500k-400kh160mm-1161-400-cr
Светильник светодиодный Luminarte STARWOOD 90Вт 3000-6500К пульт CLL47,4 650 ₽,https://colorlon.ru/catalog/product/svetilnik-svetodiodnyy-luminarte-starwood-90vt-3000-6500k-pult-cll47
Люстра светодиодная LED4U 150Вт 3300-5000К пульт 800х140мм L1107-800 GD,18 970 ₽,https://colorlon.ru/catalog/product/lyustra-svetodiodnaya-led4u-150vt-3300-5000k-pult-800kh140mm-l1107-800-gd
Люстра светодиодная LED4U 120Вт пульт L055-50-30-21,12 330 ₽,https://colorlon.ru/catalog/product/lyustra-svetodiodnaya-led4u-120vt-pult-l055-50-30-21
Люстра светодиодная LED4U 100Вт пульт L2839-5 CR,10 350 ₽,https://colorlon.ru/catalog/product/lyustra-svetodiodnaya-led4u-100vt-pult-l2839-5-cr
Люстра светодиодная LED4U 72Вт пульт L250-9,9 350 ₽,https://colorlon.ru/catalog/product/lyustra-svetodiodnaya-led4u-72vt-pult-l250-9
Люстра светодиодная LED4U 75Вт пульт L5901-4,6 800 ₽,https://colorlon.ru/catalog/product/lyustra-svetodiodnaya-led4u-75vt-pult-l5901-4
Люстра светодиодная MODELUX 45Вт MS.00304.601,15 470 ₽,https://colorlon.ru/catalog/product/lyustra-svetodiodnaya-modelux-45vt-ms-00304-601
Люстра светодиодная MODELUX 55Вт MS.00304.801,17 460 ₽,https://colorlon.ru/catalog/product/lyustra-svetodiodnaya-modelux-55vt-ms-00304-801
